store_id,sido_short,sigungu,dong,dong_code,lon,lat,sub,is_decline_area,is_gun,n_stores,n_personal,n_same_kind,s_index,s_ratio,m0,decision,t_star,decision_within_decline
0,강원,태백시,상장동,51190540,128.993584823627,37.1448103538175,편의점,True,False,641,82,17,37.705882352941174,0.7738147497805091,-0.22618525021949087,즉시철수,0.0,즉시철수
1,강원,홍천군,영귀미면,51720352,127.937919946172,37.6776930886068,편의점,True,True,160,5,3,53.333333333333336,1.0945273631840797,0.09452736318407973,만료시철수,41.0,만료시철수
2,강원,삼척시,원덕읍,51230253,129.342208885209,37.233984328326,편의점,True,False,482,37,9,53.55555555555556,1.0990878938640134,0.0990878938640134,만료시철수,41.0,만료시철수
3,강원,양양군,양양읍,51830250,128.621811005289,38.0750266961369,편의점,True,True,1072,115,22,48.72727272727273,1.0,0.0,만료시철수,23.0,만료시철수
4,강원,정선군,사북읍,51770256,128.818170758439,37.22717511032,편의점,True,True,511,44,25,20.44,0.41947761194029853,-0.5805223880597015,즉시철수,0.0,즉시철수
5,강원,홍천군,서면,51720370,127.649174065965,37.6275961078181,편의점,True,True,754,15,15,50.266666666666666,1.031592039800995,0.03159203980099501,만료시철수,29.0,만료시철수
6,강원,인제군,상남면,51810350,128.258512315702,37.873538241062,편의점,False,True,149,1,1,149.0,3.0578358208955225,2.0578358208955225,유지,246.0,
7,강원,삼척시,남양동,51230510,129.170120617046,37.4444618822499,편의점,True,False,918,103,19,48.31578947368421,0.9915553809897879,-0.008444619010212095,만료시철수,21.0,만료시철수
8,강원,인제군,남면,51810310,128.146930666625,38.0353523528791,편의점,False,True,290,18,9,32.22222222222222,0.6612769485903814,-0.33872305140961856,즉시철수,0.0,
9,강원,정선군,남면,51770320,128.77645426179,37.2455747079655,편의점,True,True,252,15,6,42.0,0.8619402985074627,-0.13805970149253732,즉시철수,0.0,즉시철수
10,강원,삼척시,원덕읍,51230253,129.344175905466,37.2301978796958,편의점,True,False,482,37,9,53.55555555555556,1.0990878938640134,0.0990878938640134,만료시철수,41.0,만료시철수
11,강원,양구군,양구읍,51800250,127.989394337575,38.1066294667406,편의점,True,True,1103,127,16,68.9375,1.4147621268656716,0.4147621268656716,유지,92.0,유지
12,강원,화천군,사내면,51790340,127.522876064588,38.0715324792841,편의점,True,True,456,34,7,65.14285714285714,1.3368869936034113,0.33688699360341134,유지,81.0,유지
13,강원,고성군,토성면,51820330,128.560755738044,38.2523070453593,편의점,True,True,897,32,34,26.38235294117647,0.5414288849868306,-0.4585711150131694,즉시철수,0.0,즉시철수
14,강원,홍천군,서면,51720370,127.694323747305,37.6649003633372,편의점,True,True,754,15,15,50.266666666666666,1.031592039800995,0.03159203980099501,만료시철수,29.0,만료시철수
15,강원,삼척시,도계읍,51230250,129.045152492693,37.2367058704678,편의점,True,False,480,59,13,36.92307692307692,0.7577497129735935,-0.2422502870264065,즉시철수,0.0,즉시철수
16,강원,삼척시,남양동,51230510,129.169374600833,37.4432774603174,편의점,True,False,918,103,19,48.31578947368421,0.9915553809897879,-0.008444619010212095,만료시철수,21.0,만료시철수
17,강원,철원군,서면,51780310,127.437055403678,38.2386574333508,편의점,True,True,508,60,9,56.44444444444444,1.158374792703151,0.1583747927031509,유지,52.0,만료시철수
18,강원,홍천군,홍천읍,51720250,127.878643283615,37.6908710511334,편의점,True,True,2611,332,41,63.68292682926829,1.3069257371678193,0.30692573716781935,유지,76.0,유지
19,강원,인제군,인제읍,51810250,128.189537415038,38.0773330683297,편의점,False,True,931,84,15,62.06666666666667,1.2737562189054727,0.27375621890547275,유지,71.0,
20,강원,철원군,갈말읍,51780256,127.324019753131,38.1820243760164,편의점,True,True,836,80,17,49.1764705882353,1.0092186128182616,0.00921861281826164,만료시철수,24.0,만료시철수
21,강원,양양군,서면,51830310,128.528942935319,37.9839440143679,편의점,True,True,249,3,3,83.0,1.703358208955224,0.7033582089552239,유지,129.0,유지
22,강원,홍천군,두촌면,51720320,128.019817040488,37.8684425716147,편의점,True,True,113,7,2,56.5,1.1595149253731343,0.15951492537313428,유지,52.0,만료시철수
23,강원,영월군,김삿갓면,51750325,128.536050318516,37.1304251798965,편의점,True,True,179,2,3,59.666666666666664,1.224502487562189,0.22450248756218905,유지,63.0,유지
24,강원,평창군,진부면,51760360,128.553745999341,37.6362322870754,편의점,True,True,717,76,11,65.18181818181819,1.3376865671641793,0.33768656716417933,유지,81.0,유지
25,강원,양양군,강현면,51830350,128.628262376681,38.1177177473726,편의점,True,True,676,23,20,33.8,0.6936567164179104,-0.3063432835820896,즉시철수,0.0,즉시철수
26,강원,삼척시,성내동,51230570,129.147960663037,37.4360385554791,편의점,True,False,651,75,11,59.18181818181818,1.2145522388059702,0.21455223880597019,유지,61.0,유지
27,강원,철원군,동송읍,51780259,127.226121394906,38.19538880922,편의점,True,True,1177,125,22,53.5,1.0979477611940298,0.09794776119402981,만료시철수,41.0,만료시철수
28,강원,평창군,대관령면,51760380,128.711486662048,37.6709580349983,편의점,True,True,816,45,29,28.137931034482758,0.5774575398867731,-0.42254246011322694,즉시철수,0.0,즉시철수
29,강원,철원군,갈말읍,51780256,127.307349445072,38.1478529706198,편의점,True,True,836,80,17,49.1764705882353,1.0092186128182616,0.00921861281826164,만료시철수,24.0,만료시철수
30,강원,인제군,북면,51810320,128.203436302083,38.122198832357,편의점,False,True,933,62,16,58.3125,1.1967117537313432,0.1967117537313432,유지,58.0,
31,강원,철원군,김화읍,51780253,127.350552677656,38.2360378016804,편의점,True,True,102,6,4,25.5,0.523320895522388,-0.47667910447761197,즉시철수,0.0,즉시철수
32,강원,평창군,봉평면,51760340,128.345116196181,37.5701272593236,편의점,True,True,897,39,14,64.07142857142857,1.3148987206823028,0.31489872068230285,유지,77.0,유지
33,강원,횡성군,둔내면,51730330,128.214049498653,37.5125450759044,편의점,True,True,554,34,18,30.77777777777778,0.6316334991708126,-0.3683665008291874,즉시철수,0.0,즉시철수
34,강원,태백시,상장동,51190540,128.977613605774,37.1607268596687,편의점,True,False,641,82,17,37.705882352941174,0.7738147497805091,-0.22618525021949087,즉시철수,0.0,즉시철수
35,강원,홍천군,홍천읍,51720250,127.888943473669,37.6922984365302,편의점,True,True,2611,332,41,63.68292682926829,1.3069257371678193,0.30692573716781935,유지,76.0,유지
36,강원,고성군,토성면,51820330,128.554699118935,38.267214813163,편의점,True,True,897,32,34,26.38235294117647,0.5414288849868306,-0.4585711150131694,즉시철수,0.0,즉시철수
37,강원,인제군,남면,51810310,128.107256938702,37.9921118168473,편의점,False,True,290,18,9,32.22222222222222,0.6612769485903814,-0.33872305140961856,즉시철수,0.0,
38,강원,평창군,봉평면,51760340,128.341480355196,37.5737723617888,편의점,True,True,897,39,14,64.07142857142857,1.3148987206823028,0.31489872068230285,유지,77.0,유지
39,강원,정선군,정선읍,51770250,128.649054044978,37.3772787381573,편의점,True,True,874,88,13,67.23076923076923,1.379735935706085,0.379735935706085,유지,87.0,유지
40,강원,횡성군,횡성읍,51730250,127.974568357699,37.4849688889583,편의점,True,True,1511,165,22,68.68181818181819,1.4095149253731345,0.4095149253731345,유지,91.0,유지
