sido_short,sigungu,dong,dong_code,is_decline_area,is_gun,n_stores,diversity,share_과학·기술,share_교육,share_보건의료,share_부동산,share_소매,share_수리·개인,share_숙박,share_시설관리·임대,share_예술·스포츠,share_음식,n_personal,chain_share,lon,lat,n_convenience,has_convenience,n_pharmacy,has_pharmacy,n_clinic,has_clinic,n_gas,has_gas,cluster
강원,고성군,간성읍,51820250,True,True,530,0.8191961310887859,0.05849056603773585,0.04339622641509434,0.018867924528301886,0.016981132075471698,0.2509433962264151,0.08490566037735849,0.07547169811320754,0.03962264150943396,0.033962264150943396,0.37735849056603776,45,0.05471698113207547,128.46942553965,38.379234187507,6,True,3,True,9,True,3,True,1
강원,고성군,거진읍,51820253,True,True,502,0.7686737355164069,0.017928286852589643,0.02390438247011952,0.013944223107569721,0.01195219123505976,0.31274900398406374,0.08565737051792828,0.10557768924302789,0.0199203187250996,0.027888446215139442,0.3804780876494024,43,0.017928286852589643,128.4548383889635,38.44723491429005,8,True,4,True,6,True,4,True,2
강원,고성군,죽왕면,51820320,True,True,494,0.6556292537636168,0.04048582995951417,0.022267206477732792,0.0020242914979757085,0.020242914979757085,0.16396761133603238,0.030364372469635626,0.3603238866396761,0.05060728744939271,0.022267206477732792,0.2874493927125506,15,0.024291497975708502,128.5265902471715,38.3274206569155,17,True,2,True,1,True,3,True,2
강원,고성군,토성면,51820330,True,True,897,0.6886416161728935,0.03455964325529543,0.03567447045707915,0.002229654403567447,0.022296544035674472,0.1716833890746934,0.03567447045707915,0.28205128205128205,0.028985507246376812,0.03901895206243032,0.34782608695652173,32,0.04124860646599777,128.556207624423,38.2547283858691,34,True,3,True,2,True,8,True,2
강원,고성군,현내면,51820310,True,True,208,0.7609511771835404,0.028846153846153848,0.004807692307692308,0.0,0.014423076923076924,0.23076923076923078,0.038461538461538464,0.22115384615384615,0.019230769230769232,0.038461538461538464,0.40384615384615385,8,0.009615384615384616,128.4245609177375,38.4996429705999,6,True,1,True,0,False,3,True,2
강원,삼척시,가곡면,51230350,True,False,32,0.8372987670670724,0.03125,0.0,0.0,0.0,0.21875,0.0625,0.3125,0.0625,0.09375,0.21875,2,0.03125,129.1804265784885,37.13956880042555,1,True,0,False,0,False,0,False,2
강원,삼척시,교동,51230530,True,False,587,0.808335158672082,0.07155025553662692,0.04599659284497445,0.0068143100511073255,0.017035775127768313,0.18057921635434412,0.0919931856899489,0.04258943781942078,0.049403747870528106,0.05792163543441227,0.43611584327086883,54,0.06984667802385008,129.171603664659,37.4506977850445,18,True,2,True,4,True,3,True,1
강원,삼척시,근덕면,51230310,True,False,570,0.627327095198747,0.015789473684210527,0.0035087719298245615,0.005263157894736842,0.012280701754385965,0.18070175438596492,0.02982456140350877,0.4070175438596491,0.03508771929824561,0.03859649122807018,0.2719298245614035,17,0.012280701754385965,129.27120715088398,37.318087533383,17,True,1,True,3,True,7,True,2
강원,삼척시,남양동,51230510,True,False,918,0.7784436606060905,0.04030501089324619,0.0392156862745098,0.027233115468409588,0.004357298474945534,0.2570806100217865,0.11220043572984749,0.037037037037037035,0.04139433551198257,0.03159041394335512,0.4095860566448802,103,0.023965141612200435,129.166724298294,37.4420553928924,19,True,12,True,23,True,0,False,1
강원,삼척시,노곡면,51230330,True,False,29,0.9248631623608516,0.0,0.06896551724137931,0.0,0.0,0.3103448275862069,0.034482758620689655,0.13793103448275862,0.06896551724137931,0.1724137931034483,0.20689655172413793,1,0.0,129.163567937899,37.3272837543372,0,False,0,False,0,False,1,True,0
강원,삼척시,도계읍,51230250,True,False,480,0.7994091360244193,0.022916666666666665,0.03333333333333333,0.014583333333333334,0.0020833333333333333,0.28958333333333336,0.12291666666666666,0.010416666666666666,0.03958333333333333,0.05,0.41458333333333336,59,0.0625,129.044616564166,37.233048969006745,13,True,3,True,6,True,4,True,1
강원,삼척시,미로면,51230340,True,False,47,0.8680932581353338,0.02127659574468085,0.02127659574468085,0.0,0.0,0.3404255319148936,0.0425531914893617,0.10638297872340426,0.10638297872340426,0.02127659574468085,0.3404255319148936,2,0.0,129.101753191948,37.4146167810376,1,True,0,False,0,False,2,True,0
강원,삼척시,성내동,51230570,True,False,651,0.8232902251139474,0.06605222734254992,0.06144393241167435,0.01228878648233487,0.013824884792626729,0.25499231950844853,0.1152073732718894,0.015360983102918587,0.043010752688172046,0.03840245775729647,0.3794162826420891,75,0.05069124423963134,129.163661684984,37.443828805556,11,True,2,True,8,True,2,True,1
강원,삼척시,신기면,51230360,True,False,57,0.7419922133155384,0.0,0.017543859649122806,0.0,0.0,0.2631578947368421,0.017543859649122806,0.19298245614035087,0.0,0.0,0.5087719298245614,1,0.0,129.05573415146,37.342808712152,1,True,0,False,0,False,2,True,2
강원,삼척시,원덕읍,51230253,True,False,482,0.7292563499852702,0.02074688796680498,0.012448132780082987,0.006224066390041493,0.01037344398340249,0.2717842323651452,0.07676348547717843,0.13485477178423236,0.016597510373443983,0.026970954356846474,0.42323651452282157,37,0.012448132780082987,129.3370115985295,37.227035114718944,9,True,1,True,3,True,5,True,2
강원,삼척시,정라동,51230540,True,False,348,0.7786611162846016,0.04310344827586207,0.09195402298850575,0.008620689655172414,0.014367816091954023,0.2471264367816092,0.14367816091954022,0.031609195402298854,0.028735632183908046,0.02586206896551724,0.3649425287356322,50,0.028735632183908046,129.177844250713,37.4404325193812,12,True,2,True,0,False,5,True,1
강원,삼척시,하장면,51230320,True,False,59,0.8364563018252896,0.0,0.0,0.0,0.0,0.2711864406779661,0.1016949152542373,0.1864406779661017,0.05084745762711865,0.03389830508474576,0.3559322033898305,6,0.01694915254237288,128.942518693153,37.3639056894819,0,False,0,False,0,False,2,True,2
강원,양구군,국토정중앙면,51800315,True,True,133,0.8163859483749811,0.05263157894736842,0.045112781954887216,0.0,0.0,0.2706766917293233,0.11278195488721804,0.13533834586466165,0.03007518796992481,0.015037593984962405,0.3383458646616541,15,0.03007518796992481,128.028995523429,38.1033218373915,3,True,0,False,0,False,5,True,2
강원,양구군,동면,51800320,True,True,73,0.8244274666432526,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.2191780821917808,0.0547945205479452,0.2328767123287671,0.0547945205479452,0.0136986301369863,0.3835616438356164,4,0.0684931506849315,128.045115907486,38.2019545314874,3,True,0,False,0,False,0,False,2
강원,양구군,방산면,51800330,True,True,68,0.7543481905348798,0.014705882352941176,0.0,0.0,0.0,0.29411764705882354,0.04411764705882353,0.2647058823529412,0.014705882352941176,0.0,0.36764705882352944,3,0.0,127.949945478131,38.208876966271745,2,True,0,False,0,False,1,True,2
강원,양구군,양구읍,51800250,True,True,1103,0.7995600283433492,0.044424297370806894,0.05983680870353581,0.012692656391659111,0.006346328195829556,0.22846781504986402,0.11514052583862194,0.0815956482320943,0.038077969174977334,0.043517679057116954,0.36990027198549413,127,0.07615593834995467,127.988869596864,38.1055891543083,16,True,7,True,12,True,4,True,1
강원,양구군,해안면,51800340,True,True,61,0.8857516717647786,0.01639344262295082,0.0,0.0,0.0,0.47540983606557374,0.11475409836065574,0.04918032786885246,0.08196721311475409,0.0,0.26229508196721313,7,0.04918032786885246,128.13971362518,38.2884428146874,2,True,0,False,0,False,1,True,0
강원,양양군,강현면,51830350,True,True,676,0.6442143000285785,0.019230769230769232,0.02514792899408284,0.0,0.022189349112426034,0.1804733727810651,0.034023668639053255,0.33875739644970415,0.03550295857988166,0.047337278106508875,0.2973372781065089,23,0.03106508875739645,128.615722017867,38.128613542543405,20,True,6,True,0,False,3,True,2
강원,양양군,서면,51830310,True,True,249,0.6011470061166215,0.028112449799196786,0.01606425702811245,0.004016064257028112,0.0,0.18875502008032127,0.012048192771084338,0.46184738955823296,0.01606425702811245,0.01606425702811245,0.2570281124497992,3,0.004016064257028112,128.52007577751,38.0629893032283,3,True,0,False,0,False,1,True,2
강원,양양군,손양면,51830320,True,True,289,0.6859795442126667,0.03460207612456748,0.02422145328719723,0.0,0.01384083044982699,0.15916955017301038,0.031141868512110725,0.31833910034602075,0.04498269896193772,0.04844290657439446,0.32525951557093424,9,0.02768166089965398,128.668891271749,38.070302884644,9,True,0,False,0,False,4,True,2
강원,양양군,양양읍,51830250,True,True,1072,0.806882931114258,0.05037313432835821,0.06436567164179105,0.014925373134328358,0.021455223880597014,0.24253731343283583,0.10727611940298508,0.05223880597014925,0.036380597014925374,0.04011194029850746,0.37033582089552236,115,0.0830223880597015,128.622439662614,38.07525388497845,22,True,5,True,15,True,9,True,1
강원,양양군,현남면,51830340,True,True,534,0.710294096448637,0.026217228464419477,0.07116104868913857,0.0018726591760299626,0.016853932584269662,0.16853932584269662,0.020599250936329586,0.2958801498127341,0.03932584269662921,0.03745318352059925,0.32209737827715357,11,0.011235955056179775,128.76157085236048,37.9688733159508,14,True,0,False,0,False,2,True,2
강원,양양군,현북면,51830330,True,True,337,0.6441699222353385,0.01483679525222552,0.05637982195845697,0.0,0.002967359050445104,0.142433234421365,0.01483679525222552,0.4362017804154303,0.03857566765578635,0.02967359050445104,0.26409495548961426,5,0.017804154302670624,128.721538418901,38.0091982381453,9,True,0,False,0,False,1,True,2
강원,영월군,김삿갓면,51750325,True,True,179,0.6230029070033238,0.00558659217877095,0.0223463687150838,0.00558659217877095,0.0,0.24022346368715083,0.0111731843575419,0.4748603351955307,0.01675977653631285,0.0446927374301676,0.1787709497206704,2,0.0,128.603230264142,37.1177700042868,3,True,0,False,0,False,2,True,2
강원,영월군,남면,51750340,True,True,82,0.8402032814715733,0.04878048780487805,0.0,0.0,0.0,0.3902439024390244,0.036585365853658534,0.12195121951219512,0.08536585365853659,0.06097560975609756,0.25609756097560976,3,0.07317073170731707,128.4030967500325,37.192136588728104,1,True,0,False,0,False,3,True,0
강원,영월군,무릉도원면,51750380,True,True,212,0.4687166322032602,0.009433962264150943,0.02358490566037736,0.0,0.0047169811320754715,0.1179245283018868,0.0,0.6698113207547169,0.014150943396226415,0.018867924528301886,0.14150943396226415,0,0.0,128.2679036671685,37.32646345024775,1,True,0,False,0,False,0,False,2
강원,영월군,북면,51750330,True,True,91,0.8328654310585253,0.054945054945054944,0.04395604395604396,0.0,0.0,0.24175824175824176,0.07692307692307693,0.21978021978021978,0.06593406593406594,0.03296703296703297,0.26373626373626374,7,0.0,128.437790627748,37.2552749138116,1,True,0,False,0,False,2,True,2
강원,영월군,산솔면,51750312,True,True,76,0.8321933213209937,0.039473684210526314,0.039473684210526314,0.0,0.02631578947368421,0.2236842105263158,0.07894736842105263,0.27631578947368424,0.02631578947368421,0.02631578947368421,0.2631578947368421,6,0.02631578947368421,128.667602211765,37.157816018991454,1,True,0,False,0,False,3,True,2
강원,영월군,상동읍,51750253,True,True,50,0.8689750754888772,0.06,0.02,0.0,0.0,0.34,0.06,0.16,0.06,0.04,0.26,3,0.02,128.825777112147,37.126135098429,1,True,0,False,0,False,2,True,0
강원,영월군,영월읍,51750250,True,True,1678,0.8069908348418873,0.05125148986889154,0.04707985697258641,0.012514898688915376,0.014898688915375448,0.2520858164481526,0.09177592371871275,0.06138259833134684,0.05542312276519666,0.056615017878426696,0.3569725864123957,154,0.027413587604290822,128.4685445022935,37.1833195013323,34,True,13,True,16,True,7,True,1
