dong_code,dong,sigungu,night_pop,demand_animals,accessibility_2sfca,accessibility_ratio,unmet_animals
11380690,진관동,은평구,57862.57923966667,6017.7082409253335,0.8436032499615109,0.46866847220083946,3197.3981135004565
11680700,세곡동,강남구,52301.76998733333,5439.384078682667,0.7480277294871487,0.41557096082619377,3178.9340108018105
11530780,오류2동,구로구,56037.63313733333,5827.913846282666,1.2040574529950843,0.6689208072194913,1929.5010118216146
11740515,강일동,강동구,54536.40309566667,5671.785921949333,1.2289862540370762,0.6827701411317091,1799.259847551146
11545510,가산동,금천구,37345.08561733333,3883.8889042026663,0.9816167890810136,0.5453426606005631,1765.8385957077785
11620735,대학동,관악구,30225.828420333335,3143.486155714667,0.8163726510298344,0.45354036168324136,1717.7883077055747
11620725,조원동,관악구,45563.87007433333,4738.642487730666,1.1991179445287614,0.666176635849312,1581.8695767616364
11440740,상암동,마포구,38309.33939166667,3984.1712967333333,1.0860623873643944,0.6033679929802191,1580.2498577339447
11350600,공릉2동,노원구,47089.255861000005,4897.2826095440005,1.2372778101371966,0.6873765611873315,1531.0053302331244
11620595,청룡동,관악구,46257.66990266666,4810.797669877333,1.2285813754494015,0.6825452085830009,1527.2107708402937
11590660,대방동,동작구,46510.727138333335,4837.1156223866665,1.258367622273652,0.6990931234853622,1455.52135327253
11560535,영등포동,영등포구,38758.969677333334,4030.9328464426667,1.198884078725536,0.6660467104030756,1346.1432842138227
11110560,평창동,종로구,20593.063305666667,2141.678583789333,0.6851340714057957,0.38063003966988657,1326.491379481453
11545610,독산1동,금천구,37255.441557666665,3874.565921997333,1.192338967102558,0.662410537279199,1308.0126278834048
11350595,공릉1동,노원구,36506.038853,3796.628040712,1.1992264368240457,0.6662369093466921,1267.1743089290499
11620665,서림동,관악구,21610.348147333334,2247.4762073226666,0.7903275926688775,0.4390708848160431,1260.6748403704985
11650660,내곡동,서초구,19443.258605666666,2022.098894989333,0.6872777770872123,0.38182098727067354,1250.019098545568
11260655,망우본동,중랑구,39424.667768666666,4100.165447941333,1.2733787476924314,0.7074326376069064,1199.5745904794926
11545670,시흥1동,금천구,26174.557838,2722.154015152,1.00960636957053,0.5608924275391833,1195.3184414578598
11590510,노량진1동,동작구,33829.460403,3518.2638819119998,1.1976743761777344,0.6653746534320747,1177.3002708022173
11530540,구로3동,구로구,29141.211769999998,3030.6860240799997,1.1245461816796336,0.6247478787109076,1137.2713594972251
11260680,신내1동,중랑구,34160.22366433334,3552.663261090667,1.2321087427027897,0.6845048570571054,1120.8480033857702
11110615,종로1.2.3.4가동,종로구,24125.889893,2509.092548872,1.034828874925705,0.5749049305142807,1066.6028714088434
11620605,은천동,관악구,30873.944952666665,3210.890275077333,1.2205311861473298,0.678072881192961,1033.6726550611866
11110650,혜화동,종로구,25909.336583333334,2694.571004666667,1.1460907726497016,0.6367170959165009,978.8915798344984
11590530,상도1동,동작구,47235.98571966667,4912.542514845333,1.4482669125145753,0.8045927291747641,959.9465256388675
11590605,흑석동,동작구,29201.157439333332,3036.9203736906666,1.2353962494186776,0.6863312496770432,952.5870184458785
11710647,위례동,송파구,54661.72827666667,5684.819740773333,1.502005958590472,0.8344477547724845,941.1346717987283
11380570,대조동,은평구,57187.47306433334,5947.497198690667,1.5248995720794647,0.8471664289330361,908.977235786659
11350580,월계3동,노원구,25095.778356,2609.9609490239995,1.1841857595129068,0.6578809775071706,892.9172886245482
11530750,개봉2동,구로구,25170.145085666667,2617.695088909333,1.1942913631584782,0.6634952017547101,880.8669577611214
11560560,당산2동,영등포구,48298.17125166667,5023.009810173333,1.4892284022914695,0.8273491123841498,867.2271022295494
11560540,여의동,영등포구,52315.450304,5440.806831616,1.527251782972213,0.8484732127623407,824.427979175481
11500630,방화1동,강서구,29365.418874,3054.003562896,1.3227283703846535,0.734849094658141,809.7718096191375
11290525,성북동,성북구,19518.229461,2029.8958639439998,1.0890017342516676,0.6050009634731487,801.8069105077203
11620695,신림동,관악구,29923.858680999998,3112.0813028239995,1.3619895238481914,0.7566608465823286,757.291229596156
11530790,수궁동,구로구,19551.178401,2033.322553704,1.1339809052608392,0.6299893918115774,752.3509147392535
11620645,서원동,관악구,21622.123247333333,2248.7008177226667,1.2287428902925963,0.6826349390514425,713.6590720716252
11110640,이화동,종로구,22131.838537333333,2301.7112078826667,1.267363029440928,0.7040905719116267,681.0980471491588
11620585,낙성대동,관악구,23195.537249,2412.335873896,1.2949270247117297,0.7194039026176277,676.8920317907123
11545680,시흥2동,금천구,13728.115135333333,1427.7239740746666,0.9474405036526512,0.526355835362584,676.2331290334072
11500640,방화2동,강서구,17693.058224333334,1840.0780553306665,1.1390496942789574,0.6328053857105319,675.6667517896586
11500510,염창동,강서구,33409.96101366667,3474.6359454213334,1.4528598643508286,0.8071443690837937,670.1031074583601
11590540,상도2동,동작구,20171.101176666667,2097.794522373333,1.2332489087253027,0.6851382826251682,660.5151860139828
11530520,구로1동,구로구,17846.661484666667,1856.0527944053333,1.1636587520246278,0.6464770844581266,656.1571952778148
11215850,구의1동,광진구,23005.477282666667,2392.5696373973333,1.3138944960746581,0.7299413867081435,646.1340384797238
11620685,신사동,관악구,21256.457114666668,2210.6715399253335,1.2743401023872967,0.7079667235484982,645.5896529624821
11560710,대림2동,영등포구,17641.48304766667,1834.7142369573335,1.1737706705202933,0.6520948169557186,638.3065924425902
11305645,우이동,강북구,18560.365421333336,1930.2780038186668,1.2238079497853378,0.6798933054362989,617.8949113914126
11350665,상계3.4동,노원구,21526.301692333334,2238.7353760026667,1.3039671388361187,0.7244261882422882,616.936841081889
11620655,신원동,관악구,17786.142605333334,1849.7588309546668,1.199696909833306,0.6664982832407256,616.8977457140098
11530530,구로2동,구로구,29565.89082333333,3074.8526456266663,1.4390981196046524,0.7994989553359181,616.5111676362627
11110515,청운효자동,종로구,14586.259514,1516.9709894559999,1.07894067451821,0.59941148584345,607.6811546847704
11545710,시흥5동,금천구,11786.165815333334,1225.7612447946667,0.9172674650640237,0.5095930361466798,601.1218504688188
11530560,구로5동,구로구,29844.760537000002,3103.855095848,1.4514526216765886,0.8063625675981049,601.0225313075448
11290660,길음1동,성북구,39697.720450333334,4128.5629268346665,1.5381219455111554,0.854512191950642,600.6555706190177
11545690,시흥3동,금천구,10083.596891000001,1048.694076664,0.781558112447559,0.43419895135975506,593.3522082793046
11380530,불광2동,은평구,21447.013050666665,2230.489357269333,1.321844989269768,0.7343583273720934,592.5109236437701
11170630,이촌1동,용산구,25355.635434,2636.986085136,1.3974552421212478,0.7763640234006933,589.7249584281718
