unit,admin_area,treated,pressure,habitat_value,pre_loss,post_loss,loss_change,estimated_avoided_loss_pp,priority_score,priority_rank,ml_risk,pi_half,confidence,priority_rank_ml
226,A08,0,0.9756616562908541,0.12326959119534346,5.824994762024465,6.610058701336266,0.7850639393118009,0.0,0.8185693323117823,1,6.210262907378057,1.1773453265274805,낮음,4
3,A01,0,0.9335718258930739,0.05414056931359458,5.758991892056545,6.349266766967702,0.5902748749111568,0.0,0.767030747877918,2,6.270138763309485,0.4197245548859051,중간,2
2,A01,0,0.9349896168536873,0.11543758828326298,5.860948340860183,6.171445263541857,0.31049692268167384,0.0,0.7611048235181144,3,6.1803184873861925,0.3854878373189405,높음,5
12,A01,0,0.8892134296461071,0.08847176909156708,5.753713836181933,6.326184403120395,0.5724705669384624,0.0,0.7604008077644925,4,6.218364817913655,0.2151071597998591,높음,3
18,A01,0,0.9145674059144865,0.0,6.080155977471341,6.386382708119777,0.30622673064843653,0.0,0.7553212591588832,5,6.149589265006097,0.5754811814167076,중간,6
25,A01,0,0.7430046259587382,0.31986948854438235,5.494466353552921,6.129889258988896,0.6354229054359744,0.0,0.7496623020526875,6,5.79542552041233,0.8189744239736536,낮음,18
16,A01,0,0.8274523359541064,0.0,6.0328126166752405,6.519544368726754,0.4867317520515133,0.0,0.7474260057418834,7,6.293426410989934,0.7105634905862283,낮음,1
227,A08,0,0.9999723013801818,0.11056578818719327,5.384527408419742,5.8193662838095115,0.4348388753897696,0.0,0.7396681704336662,8,5.754228944086972,0.5766746220762826,중간,19
153,A06,0,0.517618553112248,0.5246967113578127,5.605241732606336,6.178395199950856,0.57315346734452,0.0,0.7393384867084647,9,5.904898903284791,0.6392441691580187,중간,13
39,A02,0,0.6423926299002286,0.54383298451447,5.35353494165824,5.8394655304946745,0.4859305888364345,0.0,0.7390222512637342,10,5.5686545298737204,0.5617064733344478,중간,40
177,A06,0,0.6393749539839547,0.381896410049908,5.510302179996011,6.111283571509224,0.600981391513213,0.0,0.7342204282981284,11,5.845357909844074,0.8365695236576709,낮음,16
42,A02,0,0.7831936586268649,0.41883668651769784,5.146570959119858,5.688377569386766,0.5418066102669084,0.0,0.73347072800216,12,5.5902368472379,0.2651977713527046,높음,39
57,A02,0,0.8646225967497342,0.13075281182905632,5.81265152286147,6.025040389711281,0.2123888668498104,0.0,0.7313118538271414,13,5.846281403351169,0.4330656338419997,중간,15
193,A07,0,0.7337656398027873,0.3216998588784877,5.621359425229622,5.928507944918136,0.3071485196885142,0.0,0.7267224937917686,14,5.6095469114317975,0.7585933613920592,낮음,34
256,A09,0,0.8266009951687363,0.449349695995742,4.908349461591318,5.431714382278831,0.5233649206875128,0.0,0.7236653072244834,15,5.29281740920282,0.6999892259450051,낮음,95
13,A01,0,0.893032565075936,0.02134095715962142,5.408730575113314,6.06763378188646,0.6589032067731466,0.0,0.7209727874202904,16,6.119258494381699,0.2923306605094374,높음,7
196,A07,0,0.7520781410091925,0.3202401525475874,5.528331248725801,5.8261841793471945,0.29785293062139306,0.0,0.720340341063884,17,5.739531573606537,0.2914614474583578,높음,22
43,A02,0,0.776074761329619,0.1602080581236953,5.872013018215414,6.042295946565739,0.17028292835032488,0.0,0.7168650188696111,18,5.849496423448657,0.5072944019975129,중간,14
27,A01,0,0.894389120384282,0.03641320454767487,5.480688421328955,5.981070764680791,0.500382343351836,0.0,0.7153012639765574,19,6.043946270016037,0.3952489354320981,중간,10
257,A09,0,0.8395219296556433,0.17136717799461745,5.191691489316076,5.8534372106638,0.6617457213477236,0.0,0.7152681105974292,20,5.543660167823715,0.8502459944548854,낮음,46
272,A10,0,0.8119012494598792,0.18648885610914376,5.283528832797971,5.83147471619719,0.547945883399219,0.0,0.7090974534129689,21,5.526780434416284,0.59974780411195,중간,53
267,A09,0,0.8882069968382823,0.0,5.198817575373845,6.0003638366477805,0.8015462612739359,0.0,0.7084845993586847,22,5.8383567047899225,0.569017584058366,중간,17
283,A10,0,0.7816431896708942,0.2579500349679775,5.223145850464381,5.755334632177626,0.5321887817132449,0.0,0.7078867637130649,23,5.499825478666297,0.7976142329384892,낮음,59
254,A09,0,0.681670811297594,0.4943909387874911,4.832564042873916,5.518624941491693,0.686060898617777,0.0,0.7055023565002144,24,5.411175775666082,0.3504250821673304,높음,71
32,A02,0,0.7934446343144671,0.06445996585774022,5.642186807801979,6.062723136330034,0.4205363285280548,0.0,0.7041876196380529,25,6.0099579329439905,0.3352883254433651,높음,12
