sigungu,dong,dong_code,n_cafe,expected,gap,day_pop,night_pop,dist_center_km
서대문구,북아현동,11410555,16,175.98084920634918,-159.98084920634918,77295.0352668,45850.509268285714,2.198118233466475
강남구,삼성1동,11680580,118,202.60221031746022,-84.60221031746022,72796.4355048,18960.310312285714,9.385600824350792
서대문구,충현동,11410565,78,146.75063888888894,-68.75063888888894,45789.0383232,27785.69976057143,1.429832460646258
강남구,수서동,11680750,35,103.17922222222226,-68.17922222222226,27981.335219999997,17953.09453342857,14.020601681452424
강남구,대치1동,11680600,23,88.66200396825398,-65.66200396825398,30365.7009132,27550.516317142854,10.712948505945038
강서구,화곡8동,11500593,30,94.3677923280423,-64.3677923280423,78296.766588,85275.0414,12.061875510473238
서초구,반포4동,11650581,77,139.9724272486773,-62.97242724867729,57760.926664399994,31042.923137142854,7.466536920428361
송파구,잠실3동,11710680,28,90.42816005291004,-62.428160052910044,49909.5165656,37738.25888885714,12.039577499600906
서초구,서초3동,11650530,197,258.74086111111103,-61.74086111111103,94334.15856360001,45846.07422314286,9.00860656913273
송파구,잠실6동,11710710,68,128.41048412698416,-60.41048412698416,59573.497878,20098.598301428574,12.293163373543718
송파구,풍납2동,11710520,22,79.35201190476192,-57.35201190476192,38011.0780396,31006.705558571426,12.825624216992907
서초구,반포3동,11650580,18,72.91397486772487,-54.913974867724875,24439.517498,22890.409739142855,6.964749545757762
강남구,도곡1동,11680655,45,99.30514814814815,-54.30514814814815,49648.827443999995,41597.00930885714,10.145334347162116
서초구,반포2동,11650570,14,66.15297113997116,-52.15297113997116,26161.44056,24606.733831714286,7.020214424682615
서초구,반포본동,11650550,9,55.82712169312166,-46.82712169312166,8700.2081496,4518.873267428572,7.163006178099422
종로구,이화동,11110640,91,135.93270502645504,-44.93270502645504,49301.762004000004,22335.01115942857,2.7086998382497827
성동구,옥수동,11200645,26,70.62307804232805,-44.623078042328046,25450.460732,27506.210793714283,4.173997812087696
양천구,목5동,11470550,32,76.37278968253969,-44.37278968253969,38584.2469008,43528.30873057143,9.325375920142767
송파구,오륜동,11710566,18,61.35909656084655,-43.35909656084655,26064.5773404,19748.38070885714,14.494374649005188
서초구,내곡동,11650660,28,70.0743986291486,-42.074398629148604,24948.326438,20069.967056,14.476799562467278
중구,장충동,11140580,30,71.78153968253969,-41.78153968253969,15106.7922916,7126.010645714285,2.4491991445379435
영등포구,여의동,11560540,323,364.09503439153457,-41.09503439153457,160651.4933416,53761.17196457143,6.572939408914017
