① 사후 단순 비교,② DID (전체 기증 풀),③ SCM (전체 기증 풀),④ SCM (인접 제외 풀),시장,사전RMSPE 전체풀,사전RMSPE 인접제외,인접 가중 합
0.4238901597026045,-0.18533686775786717,0.005414726304332262,0.03226342239588863,0,0.07935181931077981,0.11597956346730173,0.9999999999998808
0.3737275428928046,-0.1264994631158703,0.027519648739444846,0.008807091160638568,1,0.04423737558121994,0.06376932496620637,0.7271884664356228
0.26189092752628923,-0.07323922239189393,0.0030139737403060765,-0.005591922644912338,2,0.05292123936377584,0.057864864394458905,0.47116629669832544
-0.03335635711220293,-0.01321527459935469,-0.017028041670951094,-0.027037504954135337,3,0.04556306051794442,0.04725833137557271,0.28232660719871616
0.48236183252868287,-0.1741858989440052,0.026962643068141584,0.025628687771086206,10,0.037622045975614984,0.08458644869901114,0.9297204231234537
0.36982172642081274,-0.1599678039747389,0.00603562588706074,0.004574173459595876,11,0.03329095928408612,0.03337810771600979,0.11355354030385796
0.2503855998801376,-0.10980631002708477,-0.00922839252866526,-0.014238257442715514,12,0.038861000919331326,0.04003574077965147,0.16741088152245057
0.023579977364497948,-0.05930941833434149,-0.012595920401956187,-0.034182363763451504,13,0.03677226727331956,0.039270578279522406,0.4929242762788367
0.5082694327360014,-0.18790769239258398,0.009761872552859291,0.12844268487189547,20,0.038060101195830726,0.18659379013690866,0.9231349963567561
0.31690754577664343,-0.1864195951031098,-0.00836385549471133,-0.021099967236715728,21,0.03427836825364013,0.03590346252600173,0.2861249763267195
0.16531820672045278,-0.16041372078175148,-0.036277283453176976,-0.04311959755165418,22,0.03265413462352093,0.03371251401803889,0.20700179555233778
0.06106244657374253,-0.0626482089180434,0.00977300673585136,-0.005514668464124399,23,0.04060967845166867,0.04332462042111802,0.4767238945292911
0.1359994694714443,0.1304572690791388,0.06735635504866853,0.09918858026628351,29,0.042939067064081876,0.054015971634658676,0.5228314909324676
0.5575028292783267,-0.17928107366182056,0.06337756162915885,0.0736374718312044,30,0.10474111963913535,0.1976267811645334,0.9999999999986992
0.23551901005374404,-0.20553996136114067,-0.034871365679724736,-0.07483680134050677,31,0.052609385072230036,0.06620804087829345,0.6797935655665817
0.0454214243826913,-0.16409919345438714,-0.038446767425198036,-0.05783324850013462,32,0.04684819468411492,0.05385959895339981,0.4464889971190986
0.01706738654043731,-0.06530859592538504,0.010678060920438638,0.006937564107281559,33,0.0339818873957939,0.035882851604727685,0.49702190382420913
0.049016049838356876,0.027697441861933556,0.046942103276610886,0.052613630910595954,34,0.03698738569117214,0.042231052309372456,0.7379578160005922
0.03936847851465812,0.08266300599768413,0.06386840440334887,0.060180935995314,35,0.03758149576707542,0.03766226131493179,0.2757128743267948
0.08887407221453485,0.022038889595544287,0.003430938412057251,0.001317575795925667,39,0.03858312960775749,0.039516113251476775,0.17150250914759158
